Votes,Average Cost for two,Has Table booking,Has Online delivery,Price range,Rating
1109,40,0,0,3,4.5
728,25,0,0,2,4.6
659,10,0,0,1,4.4
370,40,0,0,3,4.2
532,40,0,0,3,4.3
860,25,0,0,2,4.8
943,10,0,0,1,4.2
476,70,0,0,4,4.1
218,10,0,0,1,4.1
214,10,0,0,1,4.0
699,25,0,0,2,4.3
308,25,0,0,2,3.8
157,25,0,0,2,4.0
530,40,0,0,3,4.2
29,7,0,0,1,3.6
33,10,0,0,1,3.4
40,25,0,0,2,3.3
153,10,0,0,1,3.4
65,25,0,0,2,3.3
58,25,0,0,2,3.4
100,25,0,0,2,3.5
156,10,0,0,1,3.6
74,0,0,0,1,3.5
117,25,0,0,2,3.6
83,40,0,0,3,3.7
48,25,0,0,2,3.6
198,40,0,0,3,3.8
126,10,0,0,1,3.5
119,10,0,0,1,3.5
140,25,0,0,2,3.6
159,40,0,0,3,3.6
131,25,0,0,2,3.6
60,10,0,0,1,3.5
89,25,0,0,2,3.7
72,70,0,0,4,3.6
56,20,0,0,2,4.1
83,10,0,0,1,3.7
37,30,0,0,3,3.5
29,20,0,0,2,3.7
239,25,0,0,2,4.4
235,10,0,0,1,4.1
88,25,0,0,2,3.8
209,40,0,0,3,3.9
133,10,0,0,1,3.9
267,10,0,0,1,4.4
171,25,0,0,2,4.1
107,25,0,0,2,3.8
164,40,0,0,3,4.3
182,10,0,0,1,4.1
681,25,0,0,2,4.9
357,10,0,0,1,4.6
89,25,0,0,2,3.8
350,25,0,0,2,4.2
298,10,0,0,1,4.3
319,25,0,0,2,4.2
114,40,0,0,3,3.8
136,10,0,0,1,3.9
108,25,0,0,2,2.2
161,10,0,0,1,4.0
192,20,0,0,2,3.8
93,7,0,0,1,3.8
40,20,0,0,2,4.1
100,7,0,0,1,3.7
97,7,0,0,1,3.8
41,10,0,0,1,3.6
799,25,0,0,2,4.5
18,20,0,0,2,3.6
31,20,0,0,2,3.5
146,25,0,0,2,3.9
478,10,0,0,1,4.9
467,25,0,0,2,4.6
302,25,0,0,2,4.5
289,25,0,0,2,4.5
102,40,0,0,3,3.8
293,40,0,0,3,4.1
195,70,0,0,4,4.0
244,10,0,0,1,4.3
379,70,0,0,4,4.2
223,10,0,0,1,4.2
243,25,0,0,2,3.7
104,25,0,0,2,3.7
153,10,0,0,1,3.7
323,25,0,0,2,3.8
181,10,0,0,1,4.1
316,25,0,0,2,4.0
288,25,0,0,2,4.2
232,10,0,0,1,4.0
314,40,0,0,3,4.1
11,20,0,0,2,2.9
17,10,0,0,1,2.4
176,30,0,0,3,3.8
11,0,0,0,1,3.4
65,25,0,0,2,3.6
193,30,0,0,3,2.4
30,40,0,0,3,3.6
981,40,0,0,3,4.4
1151,45,0,0,3,4.5
1341,35,0,0,3,4.7
782,50,0,0,4,4.3
1293,40,0,0,3,4.6
2324,100,0,0,4,4.6
910,45,0,0,3,4.3
886,50,0,0,4,4.4
1293,35,0,0,3,4.6
570,10,0,0,1,4.4
1685,60,0,0,4,4.4
1699,40,0,0,3,4.8
1457,25,0,0,2,4.9
1252,35,0,0,3,4.9
1412,25,0,0,2,4.7
432,25,0,0,2,3.6
568,40,0,0,3,4.2
797,25,0,0,2,4.4
1158,40,0,0,3,4.4
1998,40,0,0,3,4.4
381,30,0,0,3,4.4
16,120,0,0,4,2.6
19,20,0,0,2,3.4
635,25,0,0,2,4.2
2238,40,0,0,3,4.9
792,10,0,0,1,4.6
828,10,0,0,1,4.5
292,40,0,0,3,3.7
502,25,0,0,2,3.9
559,25,0,0,2,3.7
1268,25,0,0,2,4.2
669,40,0,0,3,4.1
900,40,0,0,3,4.4
765,25,0,0,2,4.3
1270,40,0,0,3,4.0
502,25,0,0,2,4.1
724,40,0,0,3,3.9
479,40,0,0,3,3.5
591,25,0,0,2,4.2
1408,40,0,0,3,4.4
905,40,0,0,3,4.3
816,10,0,0,1,4.7
747,40,0,0,3,4.4
351,20,0,0,2,3.7
104,10,0,0,1,3.7
83,45,0,0,3,3.5
91,10,0,0,1,3.6
59,0,0,0,1,3.6
222,40,0,0,3,3.7
121,30,0,0,3,3.6
93,10,0,0,1,3.5
136,10,0,0,1,3.8
160,10,0,0,1,3.8
152,25,0,0,2,3.7
57,10,0,0,1,3.5
191,25,0,0,2,3.7
85,40,0,0,3,3.6
108,0,0,0,1,3.6
132,25,0,0,2,3.6
141,25,0,0,2,3.8
162,25,0,0,2,3.7
144,40,0,0,3,3.6
1,25,0,0,2,1.0
365,10,0,0,1,4.1
9,25,0,0,2,3.3
542,70,0,0,4,4.0
691,25,0,0,2,4.5
764,35,0,0,3,4.7
707,10,0,0,1,4.7
487,30,0,0,3,4.5
695,10,0,0,1,4.5
485,40,0,0,3,4.2
807,40,0,0,3,4.2
723,10,0,0,1,4.6
874,10,0,0,1,4.2
552,25,0,0,2,4.4
1056,40,0,0,3,4.3
707,40,0,0,3,4.3
1343,70,0,0,4,4.9
602,10,0,0,1,4.9
1078,40,0,0,3,4.6
232,25,0,0,2,3.9
1492,70,0,0,4,4.4
535,10,0,0,1,4.0
531,70,0,0,4,4.2
694,25,0,0,2,4.2
1201,40,0,0,3,3.3
906,40,0,0,3,4.7
880,10,0,0,1,4.6
1014,40,0,0,3,4.5
796,25,0,0,2,4.5
747,25,0,0,2,3.7
566,40,0,0,3,3.8
683,25,0,0,2,4.1
690,25,0,0,2,4.4
680,10,0,0,1,4.2
287,10,0,0,1,4.1
802,40,0,0,3,4.1
710,25,0,0,2,4.3
456,10,0,0,1,4.3
687,70,0,0,4,4.0
719,25,0,0,2,4.3
1803,70,0,0,4,4.4
558,70,0,0,4,4.1
883,40,0,0,3,3.8
309,10,0,0,1,3.9
34,300,0,0,4,3.4
33,270,0,0,4,4.0
33,500,0,0,4,3.8
34,80,0,0,4,3.1
35,430,0,0,4,3.8
33,315,0,0,4,3.9
29,20,0,0,2,4.2
35,100,0,0,4,4.1
29,50,0,0,3,3.2
30,80,0,0,4,3.2
33,40,0,0,3,3.7
25,30,0,0,3,3.0
30,220,0,0,4,3.8
34,300,0,0,4,3.9
33,60,0,0,4,3.1
32,60,0,0,4,3.2
30,95,0,0,4,3.2
28,50,0,0,3,3.8
35,40,0,0,3,3.9
33,75,0,0,4,3.2
100,40,0,0,3,3.7
92,10,0,0,1,3.6
182,10,0,0,1,3.8
76,10,0,0,1,3.6
129,40,0,0,3,3.7
94,25,0,0,2,3.6
129,25,0,0,2,3.8
178,25,0,0,2,3.8
97,10,0,0,1,3.7
161,10,0,0,1,3.9
122,10,0,0,1,3.7
195,10,0,0,1,3.8
146,40,0,0,3,3.7
117,10,0,0,1,3.7
187,25,0,0,2,3.8
239,40,0,0,3,3.9
303,10,0,0,1,4.0
280,40,0,0,3,4.0
271,25,0,0,2,4.0
58,70,0,0,4,3.5
1321,25,0,0,2,4.6
1629,25,0,0,2,4.6
921,25,0,0,2,4.1
986,25,0,0,2,4.1
1020,25,0,0,2,4.1
3157,70,0,0,4,4.7
665,40,0,0,3,3.9
373,70,0,0,4,3.9
1007,25,0,0,2,4.4
803,25,0,0,2,4.4
1363,40,0,0,3,4.2
1424,10,0,0,1,4.9
844,40,0,0,3,4.5
1413,40,0,0,3,4.9
1203,40,0,0,3,4.5
3074,40,0,0,3,4.7
1715,40,0,0,3,4.8
1868,10,0,0,1,4.5
875,40,0,0,3,4.0
1746,40,0,0,3,4.4
339,30,0,0,3,4.4
87,20,0,0,2,4.1
98,25,0,0,2,3.4
83,25,0,0,2,3.1
231,40,0,0,3,3.9
216,40,0,0,3,3.7
185,35,0,0,3,3.8
185,25,0,0,2,3.7
281,10,0,0,1,3.8
137,40,0,0,3,3.7
209,25,0,0,2,3.7
168,10,0,0,1,3.7
243,25,0,0,2,3.9
221,40,0,0,3,3.8
46,10,0,0,1,3.5
262,25,0,0,2,3.9
183,25,0,0,2,3.7
208,70,0,0,4,3.5
245,25,0,0,2,3.8
199,25,0,0,2,3.8
225,40,0,0,3,3.8
575,25,0,0,2,4.1
88,10,0,0,1,4.3
96,20,0,0,2,3.6
204,70,0,0,4,4.3
18,10,0,0,1,3.2
134,25,0,0,2,3.7
190,10,0,0,1,3.9
136,10,0,0,1,3.8
113,25,0,0,2,3.7
69,10,0,0,1,3.6
89,40,0,0,3,3.6
80,25,0,0,2,3.6
175,40,0,0,3,3.8
136,10,0,0,1,3.7
114,25,0,0,2,3.6
93,25,0,0,2,3.6
89,25,0,0,2,3.6
69,25,0,0,2,3.6
86,40,0,0,3,3.6
73,10,0,0,1,3.7
104,25,0,0,2,3.6
101,10,0,0,1,3.7
58,10,0,0,1,3.5
156,25,0,0,2,3.9
156,25,0,0,2,3.9
16,25,0,0,2,3.2
26,25,0,0,2,3.3
207,190,0,0,4,4.6
376,260,0,1,4,4.6
471,150,1,1,3,4.4
224,70,0,0,2,4.3
228,100,0,0,3,4.2
81,180,0,0,4,4.6
422,230,0,0,4,4.1
246,350,1,1,4,4.4
355,120,1,1,3,4.0
268,60,0,1,2,3.6
162,100,0,1,3,4.5
205,250,0,1,4,4.0
277,50,0,1,2,4.0
380,70,0,1,2,4.0
180,80,1,1,3,4.3
525,100,0,1,3,4.0
216,330,1,0,4,4.9
201,500,1,0,4,4.7
435,250,0,0,4,4.2
586,200,0,0,4,4.6
927,280,1,0,3,3.9
1448,90,1,1,2,4.1
1281,90,1,1,2,4.3
307,150,1,0,3,4.5
909,200,1,0,3,4.5
641,160,1,0,3,4.9
322,500,1,0,4,4.9
2510,160,1,0,3,4.8
1388,300,0,0,4,4.5
403,140,0,1,3,4.5
1351,100,0,0,3,4.3
661,160,0,0,3,4.3
281,150,1,0,3,4.4
1352,500,1,0,4,4.9
552,150,1,1,3,4.4
506,285,0,0,3,3.2
2424,270,0,0,3,4.7
386,170,0,0,3,4.3
500,250,0,1,3,3.7
544,130,1,1,3,4.3
285,85,0,1,3,3.9
210,70,0,1,3,3.8
372,120,0,1,4,4.1
316,65,0,0,3,4.3
69,110,0,1,4,3.9
33,40,0,0,2,4.1
449,100,0,1,4,4.1
504,80,0,1,3,4.2
192,90,0,1,3,4.1
154,80,0,0,3,2.4
142,50,0,0,2,4.2
444,60,0,0,3,4.2
265,160,0,1,4,4.2
227,130,0,1,4,3.8
357,250,0,1,4,3.9
459,60,0,0,3,4.8
197,250,0,1,4,4.1
143,150,0,0,4,4.5
12,50,0,0,2,3.8
43,110,0,0,4,4.2
140,850,0,0,3,3.9
71,700,0,0,2,3.5
94,500,0,0,2,3.6
87,400,0,0,2,4.0
177,1000,0,0,3,4.2
45,2000,0,0,4,4.0
133,2500,0,0,4,4.3
41,2500,0,0,4,4.0
59,800,0,0,3,3.6
46,3600,0,0,4,3.8
103,0,0,0,1,3.9
121,550,0,0,2,4.1
70,1100,0,0,3,3.4
77,0,0,0,1,4.9
57,1500,0,0,4,3.8
98,0,0,0,1,3.9
175,900,0,0,3,3.7
134,700,0,0,2,4.4
166,1000,0,0,3,4.2
168,700,0,0,2,4.1
1582,900,0,0,3,4.2
1315,1800,0,0,4,3.7
217,300,0,1,1,4.5
769,800,0,0,3,4.1
731,900,0,1,3,4.3
113,500,0,1,2,4.4
944,1000,0,1,3,4.4
63,1000,0,1,3,3.8
375,1400,0,0,3,3.6
166,350,0,0,2,4.6
697,450,0,0,2,4.4
325,900,0,0,3,4.3
432,600,0,1,2,3.8
744,700,0,1,2,4.3
404,700,0,1,2,4.0
317,600,0,1,2,4.4
1138,950,0,1,3,4.5
1041,1200,0,0,3,4.1
192,1200,0,0,3,4.1
166,550,0,1,2,3.9
535,1200,0,0,3,4.0
57,500,0,0,3,3.4
76,350,0,0,2,3.3
51,500,0,0,3,3.2
99,600,0,0,3,3.4
83,600,0,0,3,3.4
18,600,0,0,3,3.4
58,500,0,0,3,3.4
53,400,0,0,2,3.3
6,800,0,0,3,3.2
35,700,0,0,3,3.4
32,400,0,0,2,3.4
151,500,0,0,3,3.2
49,0,0,0,1,3.3
106,500,0,0,3,3.4
59,1000,0,0,4,3.6
105,200,0,0,1,3.7
105,500,0,0,3,3.5
57,500,0,0,3,3.6
134,400,0,0,2,3.5
58,800,0,0,3,3.3
345,700,0,0,2,3.4
151,300,0,0,1,3.9
52,100,0,0,1,4.0
122,800,0,0,3,3.4
56,150,0,0,1,3.6
91,300,0,0,1,3.5
26,500,0,0,2,3.4
98,1200,0,0,3,3.4
111,400,0,0,2,3.5
51,700,0,0,2,3.6
206,200,0,0,1,3.9
44,600,0,0,2,3.4
94,500,0,0,2,3.7
461,500,0,0,2,3.5
276,500,0,0,2,3.8
71,400,0,0,2,3.8
104,100,0,0,1,4.1
878,500,0,0,2,4.1
192,500,0,0,2,3.8
96,1000,0,0,3,3.5
140,150,0,0,1,4.1
240,800,0,0,3,3.6
65,850,0,0,3,3.3
63,600,0,0,2,3.3
19,700,0,0,2,3.1
46,350,0,0,2,3.4
75,450,0,0,2,3.4
94,1800,0,0,4,3.4
47,500,0,0,2,3.3
71,500,0,0,2,3.4
73,1000,0,0,3,3.6
21,300,0,0,1,3.5
46,400,0,0,2,3.3
45,700,0,0,2,3.3
34,450,0,0,2,3.4
89,450,0,0,2,3.7
8,400,0,0,2,3.2
39,650,0,0,2,3.4
74,600,0,0,2,3.3
76,450,0,0,2,3.3
71,500,0,0,2,3.3
2416,1300,1,1,3,4.1
2369,2400,1,1,4,4.7
3986,2000,0,0,4,4.8
1354,1300,1,0,3,3.9
231,1500,0,1,3,4.2
3533,800,0,0,2,4.0
1413,600,0,1,2,4.3
781,600,0,0,2,4.6
276,950,0,0,2,4.7
3986,800,0,1,2,4.7
3986,1400,1,0,3,4.1
753,400,0,1,1,4.3
1288,1500,0,0,3,4.5
3986,1400,0,0,3,4.6
983,1200,1,0,3,4.4
627,600,0,0,2,4.6
334,1200,0,0,3,4.2
3986,1800,1,1,3,4.5
405,1400,0,0,3,3.9
754,1500,0,0,3,4.4
51,200,0,0,1,3.3
63,600,0,0,2,3.4
427,250,0,0,1,4.9
126,700,0,0,2,3.9
223,500,0,0,2,4.2
257,1000,0,0,3,4.0
103,1000,0,0,3,4.0
118,650,0,0,2,4.1
98,600,0,0,2,3.8
33,500,0,0,2,3.8
175,550,0,0,2,3.5
111,500,0,0,2,3.6
20,350,0,0,2,3.6
103,500,0,0,2,4.1
243,400,0,0,2,4.4
238,400,0,0,2,4.1
128,1800,0,0,4,4.3
161,500,0,0,2,3.9
79,900,0,0,3,3.8
120,500,0,0,2,4.3
289,500,0,0,2,3.9
379,550,0,0,2,4.1
154,1200,0,0,3,4.6
145,600,0,0,2,4.5
247,500,0,0,2,3.9
145,500,0,0,2,4.0
118,850,0,0,2,3.7
256,1400,0,0,3,4.1
173,450,0,0,1,3.6
424,600,0,0,2,3.8
338,450,0,0,1,3.7
228,500,0,0,2,3.7
253,450,0,0,1,3.8
90,900,0,0,2,4.0
197,400,0,0,1,4.0
69,800,0,0,2,4.3
199,300,0,0,1,4.1
56,500,0,0,2,3.8
49,900,0,0,2,4.2
345,1500,0,0,3,4.3
89,400,0,0,1,3.5
665,850,0,1,2,3.7
676,1600,0,0,3,4.2
970,1400,0,1,3,4.3
300,1600,0,0,3,4.1
428,1400,0,0,3,4.0
1022,1200,0,0,3,4.0
1450,1300,0,0,3,4.5
228,1800,0,0,3,4.3
982,700,0,0,2,3.8
502,1000,0,1,3,3.4
698,650,0,0,2,4.1
397,650,0,0,2,4.1
265,450,0,1,1,4.0
252,600,0,1,2,4.2
86,800,0,0,2,3.3
817,2200,0,0,4,4.4
249,500,0,1,2,4.5
356,600,0,0,2,4.0
1810,800,1,1,2,4.2
519,800,1,1,2,3.8
1504,750,1,1,2,4.4
841,850,1,1,2,4.2
1262,1700,1,1,3,4.8
191,450,0,1,1,4.2
1510,350,0,0,1,4.6
1004,1100,0,0,3,4.1
1820,1500,1,1,3,4.0
1753,1200,1,1,3,4.6
1714,1000,1,0,3,4.2
1317,900,0,1,2,3.8
1607,1200,1,1,3,4.3
645,850,1,1,2,4.4
742,850,1,1,2,4.3
1210,1500,1,1,3,4.5
3848,2000,0,0,4,4.4
859,1600,0,0,3,4.9
1267,1400,0,0,3,4.6
2272,900,1,0,2,4.0
202,800,0,1,3,4.6
318,600,0,0,2,3.9
124,400,0,1,2,3.8
274,600,0,1,2,3.5
147,500,0,0,2,4.3
243,1200,0,1,3,4.1
24,450,0,0,2,3.8
380,350,0,0,2,4.5
221,1200,0,0,3,3.8
85,700,0,1,2,3.9
40,1200,0,0,3,4.2
132,600,0,1,2,4.0
203,1000,0,0,3,4.0
215,1500,0,0,4,4.0
225,400,0,0,2,4.3
299,1400,0,0,3,4.2
200,350,0,1,2,4.9
221,700,0,0,2,4.2
161,300,0,0,1,4.3
505,1400,0,0,3,4.4
102,800,0,0,3,3.6
115,500,0,0,3,3.8
141,650,0,0,3,3.9
173,1000,0,0,4,3.9
406,750,0,0,3,4.2
50,1500,0,0,4,4.9
63,0,0,0,1,4.3
98,1250,0,0,4,4.0
230,550,0,0,3,3.8
94,500,0,0,3,4.0
64,350,0,0,2,4.1
131,700,0,0,3,3.9
101,600,0,0,3,3.9
121,600,0,0,3,3.9
39,400,0,0,2,3.9
66,1600,0,0,4,4.4
175,1200,0,0,4,4.0
104,500,0,0,3,4.1
68,500,0,0,3,4.2
89,600,0,0,3,4.2
4,250,0,0,1,2.9
16,500,0,0,2,2.8
8,150,0,0,1,2.8
8,150,0,0,1,2.9
7,100,0,0,1,2.8
4,300,0,0,1,3.0
1,100,0,0,1,1.0
3,100,0,0,1,1.0
3,400,0,0,1,1.0
0,300,0,0,1,1.0
4,300,0,0,1,2.9
7,350,0,0,1,3.0
11,300,0,0,1,2.9
1,200,0,0,1,1.0
0,300,0,0,1,1.0
0,400,0,0,1,1.0
49,600,0,1,2,2.8
58,500,0,0,2,3.4
233,700,0,0,2,3.4
508,1100,0,1,3,3.8
98,600,0,1,2,3.6
59,900,0,1,2,3.6
0,300,0,0,1,1.0
1,200,0,0,1,1.0
2,500,0,0,2,1.0
57,500,0,1,2,2.1
299,1600,0,0,3,4.0
239,1300,0,1,3,4.1
16,400,0,0,1,3.2
16,200,0,1,1,2.7
48,800,0,1,2,3.4
25,1000,1,0,3,2.4
3,200,0,0,1,1.0
12,250,0,0,1,2.8
2,200,0,0,1,1.0
0,1200,1,0,3,1.0
0,1500,0,0,3,1.0
0,1500,1,0,3,1.0
2,100,0,0,1,1.0
3,1500,1,0,3,1.0
0,300,0,0,1,1.0
0,500,0,0,2,1.0
0,500,0,0,2,1.0
0,400,0,0,1,1.0
15,1000,0,0,3,3.0
19,500,0,0,2,3.2
8,500,0,0,2,2.8
0,300,0,0,1,1.0
20,450,0,0,1,2.8
11,500,0,0,2,3.1
11,150,0,0,1,3.0
7,450,0,1,1,3.1
13,700,1,0,2,2.9
0,400,0,0,1,1.0
3,700,0,0,2,1.0
0,500,0,0,2,1.0
25,800,1,1,2,3.3
22,300,0,0,1,3.0
26,450,0,0,1,2.6
16,700,0,1,2,2.9
7,200,0,0,1,2.9
28,1500,1,1,3,3.1
0,550,0,0,2,1.0
0,400,0,0,1,1.0
0,100,0,0,1,1.0
31,600,0,1,2,3.2
70,400,0,0,1,3.4
67,450,0,0,1,3.3
35,600,0,0,2,2.7
22,500,0,1,2,3.4
17,200,0,0,1,3.3
39,600,0,1,2,2.6
35,500,0,0,2,3.3
35,500,0,0,2,3.4
32,400,0,0,1,2.7
14,950,0,0,2,2.6
17,600,0,0,2,2.7
35,300,0,0,1,3.4
799,1000,0,0,3,4.5
62,400,0,1,1,3.6
24,300,0,1,1,3.5
134,900,1,0,2,3.8
26,400,0,0,1,3.5
93,400,0,0,1,3.6
280,650,0,0,2,3.7
70,400,0,0,1,3.6
31,350,0,0,1,3.5
25,250,0,0,1,3.6
18,150,0,0,1,3.5
27,400,0,0,1,3.6
27,750,0,1,2,3.8
39,400,0,0,1,3.5
126,400,0,0,1,3.6
75,150,0,0,1,3.8
143,500,0,0,2,3.5
153,650,0,1,2,4.1
43,400,0,0,1,2.9
4,300,0,1,1,2.9
25,400,0,0,1,2.5
26,400,0,0,1,3.1
4,500,0,0,2,3.0
22,250,0,0,1,3.4
14,800,1,0,2,3.3
8,300,0,0,1,3.1
8,400,0,0,1,3.1
0,400,0,0,1,1.0
0,300,0,0,1,1.0
0,300,0,0,1,1.0
0,300,0,0,1,1.0
2,250,0,0,1,1.0
0,250,0,0,1,1.0
0,400,0,0,1,1.0
0,500,0,0,2,1.0
20,400,0,0,1,2.8
39,700,0,0,2,2.7
56,600,0,1,2,2.7
43,500,0,0,2,2.7
